Deal Date,Security Code,Company,Client Name,Deal Type,Quantity,Price
29-11-2005,523886,MICROINK,BILAKHIA HOLDINGS PVT LTD,S,1378031,640
29-11-2005,523886,MICROINK,MUMBAI INTEGRATED SEZ LTD,P,1172000,640
29-11-2005,507878,UNITECH,PRAKAUSLI INVESTMENT INDIA PVT LTD,P,235000,650
29-11-2005,507878,UNITECH,UNIBUILD ENGG AND CONSTURCTION,S,235000,650
29-11-2005,523886,MICROINK,NARENDRA DHARMSINGH DESAI,P,126031,640
29-11-2005,507878,UNITECH,MILLENIUM CONSTURCTION PVT LTD,S,93468,650
29-11-2005,507878,UNITECH,PRAKAUSLI INVESTMENT INDIA LTD,P,93468,650
29-11-2005,523886,MICROINK,KAMAL VISARIA  HUF,P,80000,640
05-12-2005,532129,HEXAWARE,IRVINE LIMITED,S,2500000,104
05-12-2005,532129,HEXAWARE,UBS SECURITIES ASIA LIMITED.,P,2500000,104
05-12-2005,500325,RELIANCE,EKLAVYA MERCANTILE PRIVATE LTD,P,80063,846.65
05-12-2005,500325,RELIANCE,SPARK TRADECOM PRIVATE LTD,S,80063,846.65
05-12-2005,500325,RELIANCE,BHUMIKA TRADING PVT LTD,P,67063,847
05-12-2005,500325,RELIANCE,PLATINUM COMMERCIALS PVT LTD,S,67063,847
05-12-2005,500325,RELIANCE,NEELAM MERCANTILE PVT LTD,S,60063,847.55
05-12-2005,500325,RELIANCE,EKANSHA ENTERPRISES PVT LTD,P,60063,847.55
07-12-2005,532129,HEXAWARE,IRVINE LIMITED,S,2500000,108.25
07-12-2005,532129,HEXAWARE,MACQUARIE BANK LTD,P,2500000,108.25
08-12-2005,500325,RELIANCE,EKLAVYA MERCANTILE PRIVATE LTD,P,1200000,847.85
08-12-2005,500325,RELIANCE,SPARK TRADECOM PRIVATE LTD,S,1200000,847.85
08-12-2005,500325,RELIANCE,PANCHTIRTH TRADING PVT LTD,S,807063,844.15
08-12-2005,500325,RELIANCE,EKANSHA ENTERPRISE PVT LTD,P,807063,844.15
08-12-2005,500325,RELIANCE,CHARISHMA INVESTMENTS PRIVATE LTD,S,807002,847.45
08-12-2005,500325,RELIANCE,EKLAVYA MERCANTILE PRIVATE LTD,P,807002,847.45
09-12-2005,532129,HEXAWARE,IRVINE LIMITED,S,2500000,108
09-12-2005,532129,HEXAWARE,MACQUARIE BANK LTD,P,2500000,108
