"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"22-SEP-2025","AGARWALTUF","Agarwal Tough Glass Ind L","GINNI FINANCE PRIVATE LIMITED","SELL","1,98,000","150.96","-"
"22-SEP-2025","AGUL","A G Universal Limited","BELA P SHAH","SELL","64,000","67.05","-"
"22-SEP-2025","AGUL","A G Universal Limited","MONIKA  JAIN","BUY","40,000","67.05","-"
"22-SEP-2025","ANANTRAJ","Anant Raj Industries Limi","GRAVITON RESEARCH CAPITAL LLP","SELL","23,08,591","674.74","-"
"22-SEP-2025","ANANTRAJ","Anant Raj Industries Limi","GRAVITON RESEARCH CAPITAL LLP","BUY","23,11,298","674.45","-"
"22-SEP-2025","APEXECO","Apex Ecotech Limited","AMIT KUMAR JAIN HUF","BUY","80,000","164.54","-"
"22-SEP-2025","APEXECO","Apex Ecotech Limited","AMIT KUMAR JAIN HUF","SELL","80,000","164.29","-"
"22-SEP-2025","ARISINFRA","Arisinfra Solutions Ltd","NEOMILE CORPORATE ADVISORY LIMITED","SELL","1,02,100","170.47","-"
"22-SEP-2025","ARISINFRA","Arisinfra Solutions Ltd","NEOMILE CORPORATE ADVISORY LIMITED","BUY","10,49,588","155.40","-"
"22-SEP-2025","AROGRANITE","Aro Granite Industries Li","RIMPY MITTAL","SELL","81,174","39.72","-"
"22-SEP-2025","AROGRANITE","Aro Granite Industries Li","RIMPY MITTAL","BUY","91,944","40.96","-"
"22-SEP-2025","ATALREAL","Atal Realtech Limited","PASHUPATI CAPITA SER PVT LTD","BUY","4,38,000","20.82","-"
"22-SEP-2025","ATALREAL","Atal Realtech Limited","PASHUPATI CAPITA SER PVT LTD","SELL","8,51,074","20.55","-"
"22-SEP-2025","CHANDAN","Chandan Healthcare Ltd","MANISH GROVER","BUY","2,35,200","226.21","-"
"22-SEP-2025","DENEERS","De Neers Tools Limited","ARK GLOBAL EMERGING COMPANIES LP ","SELL","1,31,400","188.13","-"
"22-SEP-2025","DENEERS","De Neers Tools Limited","DESERET MUTUAL EMPLOYEE","SELL","46,800","188.13","-"
"22-SEP-2025","DENEERS","De Neers Tools Limited","NIKUNJ KAUSHIK SHAH","SELL","1,75,200","193.62","-"
"22-SEP-2025","DENEERS","De Neers Tools Limited","NIKUNJ KAUSHIK SHAH","BUY","1,79,400","201.23","-"
"22-SEP-2025","DENEERS","De Neers Tools Limited","UNLISTED ASSETS PRIVATE LIMITED","SELL","75,000","174.91","-"
"22-SEP-2025","DEVX","Dev Accelerator Limited","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","BUY","20","59.98","-"
"22-SEP-2025","DEVX","Dev Accelerator Limited","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","SELL","6,09,578","56.31","-"
"22-SEP-2025","DHARIWAL","Dhariwalcorp Limited","ANJU SHARMA","BUY","46,800","213.50","-"
"22-SEP-2025","DHARIWAL","Dhariwalcorp Limited","DHRUVINKUMAR KIRTIBHAI MISTRI","SELL","64,800","200.93","-"
"22-SEP-2025","DHARIWAL","Dhariwalcorp Limited","KAMLESHBHAI PATEL","SELL","68,400","200.26","-"
"22-SEP-2025","DHARIWAL","Dhariwalcorp Limited","SHAH BHAVY MAHENDRABHAI","SELL","75,600","201.24","-"
"22-SEP-2025","DHARIWAL","Dhariwalcorp Limited","VASANTKUMAR DHANJIBHAI SHAH","SELL","74,400","202.99","-"
"22-SEP-2025","GATECH","GACM Technologies Limited","RAKESH KUMAR UPPAL AND SONS HUF","BUY","62,80,041","0.78","-"
"22-SEP-2025","GATECH","GACM Technologies Limited","RAKESH KUMAR UPPAL AND SONS HUF","SELL","95,51,883","0.79","-"
"22-SEP-2025","GATECH","GACM Technologies Limited","SHARE INDIA SECURITIES LIMITED","SELL","58,32,510","0.79","-"
"22-SEP-2025","GATECH","GACM Technologies Limited","SHARE INDIA SECURITIES LIMITED","BUY","67,53,702","0.79","-"
"22-SEP-2025","GLOBE","Globe Textiles (I) Ltd.","BHAVIK SURYAKANT PARIKH","BUY","24,00,000","2.22","-"
"22-SEP-2025","HILTON","Hilton Metal Forging Limi","RIKHAV SECURITIES LIMITED","SELL","1,94,554","52.30","-"
"22-SEP-2025","INTENTECH","Intense Technologies Ltd","D3 STOCK VISION LLP","BUY","1,43,669","138.77","-"
"22-SEP-2025","INTENTECH","Intense Technologies Ltd","D3 STOCK VISION LLP","SELL","1,73,669","138.92","-"
"22-SEP-2025","INTENTECH","Intense Technologies Ltd","MANSI SHARE AND STOCK BROKING PRIVATE LIMITED","SELL","1,67,026","137.43","-"
