"DATE 
","SYMBOL 
","SECURITY NAME 
","CLIENT NAME 
","BUY/SELL 
","QUANTITY TRADED 
","TRADE PRICE/ WEIGHTED. AVG. PRICE 
","REMARKS 
"
26-Sep-25,AXISBANK,Axis Bank Limited,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"91,172","1,166.60",
26-Sep-25,AXISBANK,Axis Bank Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"91,172","1,166.60",
26-Sep-25,BEL,Bharat Electronics Ltd,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"3,94,579",403.15,
26-Sep-25,BEL,Bharat Electronics Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"3,94,579",403.15,
26-Sep-25,BHARTIARTL,Bharti Airtel Limited,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"1,47,101","1,935.60",
26-Sep-25,BHARTIARTL,Bharti Airtel Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"1,47,101","1,935.60",
26-Sep-25,ETERNAL,ETERNAL LIMITED,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"9,52,167",332.25,
26-Sep-25,ETERNAL,ETERNAL LIMITED,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"9,52,167",332.25,
26-Sep-25,GODREJPROP,Godrej Properties Ltd,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"1,03,129","1,967.40",
26-Sep-25,GODREJPROP,Godrej Properties Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"1,03,129","1,967.40",
26-Sep-25,HEROMOTOCO,Hero MotoCorp Limited,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"28,602","5,354.50",
26-Sep-25,HEROMOTOCO,Hero MotoCorp Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"28,602","5,354.50",
26-Sep-25,KOTAKBANK,Kotak Mahindra Bank Limit,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"1,16,911","2,013.50",
26-Sep-25,KOTAKBANK,Kotak Mahindra Bank Limit,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"1,16,911","2,013.50",
26-Sep-25,PAYTM,One 97 Communications Ltd,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"1,07,811","1,141.40",
26-Sep-25,PAYTM,One 97 Communications Ltd,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"1,07,811","1,141.40",
26-Sep-25,SHRIRAMFIN,Shriram Finance Limited,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"5,33,842",612.7,
26-Sep-25,SHRIRAMFIN,Shriram Finance Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"5,33,842",612.7,
26-Sep-25,VBL,Varun Beverages Limited,GOLDMAN SACHS BANK EUROPE SE - ODI,SELL,"2,31,971",451.85,
26-Sep-25,VBL,Varun Beverages Limited,MORGAN STANLEY ASIA SINGAPORE PTE,BUY,"2,31,971",451.85,
