"ISIN";"StockExchange";"Symbol"
"IN9110D01011";"BSE";"570003"
"IN9155A01020";"BSE";"570001"
"IN9175A01010";"BSE";"570004"
"IN9175A01010";"NSE";"JISLDVREQS"
"IN9623B01058";"BSE";"570002"
"IN9623B01058";"NSE";"FELDVR"
"INE001A01036";"BSE";"500010"
"INE001B01026";"BSE";"530813"
"INE001B01026";"NSE";"KRBL"
"INE001E01012";"BSE";"530331"
"INE002A01018";"BSE";"500325"
"INE002A01018";"NSE";"RELIANCE"
"INE002L01015";"BSE";"533206"
"INE002L01015";"NSE";"SJVN"
"INE002S01010";"BSE";"539957"
"INE002S01010";"NSE";"MGL"
"INE003A01024";"BSE";"500550"
"INE003A01024";"NSE";"SIEMENS"
"INE004A01022";"NSE";"PROTEAN"
"INE005B01027";"NSE";"AVANTEL"
"INE005I01014";"BSE";"532828"
"INE005I01014";"NSE";"AMDIND"
"INE006I01046";"BSE";"532830"
"INE006I01046";"NSE";"ASTRAL"
"INE006Z01016";"NSE";"ARVEE"
"INE007A01025";"BSE";"500092"
"INE007A01025";"NSE";"CRISIL"
"INE007B01023";"BSE";"532285"
"INE007B01023";"NSE";"GEOJITFSL"
"INE007N01010";"NSE";"FEDFINA"
"INE008A01015";"BSE";"500116"
"INE008A01015";"NSE";"IDBI"
"INE008Z01020";"NSE";"SRPL"
"INE009A01021";"BSE";"500209"
"INE009A01021";"NSE";"INFY"
"INE00CA01015";"BSE";"542233"
"INE00CA01015";"NSE";"TREJHARA"
"INE00CE01017";"NSE";"SVLL"
"INE00E101023";"NSE";"BIKAJI"
"INE00EM01016";"NSE";"MEGASTAR"
"INE00EV01017";"NSE";"HARIOMPIPE"
"INE00F201020";"NSE";"PRUDENT"
"INE00FF01025";"NSE";"ACUTAAS"
"INE00H001014";"NSE";"SWIGGY"
"INE00IK01029";"NSE";"OSWALSEEDS"
"INE00IN01015";"BSE";"543260"
"INE00IN01015";"NSE";"STOVEKRAFT"
"INE00KV01022";"NSE";"RAJMET"
"INE00LM01029";"NSE";"SONAMLTD"
"INE00LO01017";"BSE";"543276"
"INE00LO01017";"NSE";"CRAFTSMAN"
"INE00M201021";"BSE";"542760"
"INE00M201021";"NSE";"SWSOLAR"
"INE00M901018";"NSE";"INTERARCH"
"INE00OQ01016";"NSE";"DHARMAJ"
"INE00PV01013";"NSE";"AHLADA"
"INE00QT01015";"BSE";"541929"
"INE00QT01015";"NSE";"SGIL"
"INE00R701025";"BSE";"542216"
"INE00R701025";"NSE";"DALBHARAT"
"INE00RL01028";"NSE";"HILINFRA"
"INE00S901012";"BSE";"542231"
"INE00S901012";"NSE";"NILASPACES"
"INE00U401027";"NSE";"UNIECOM"
"INE00VM01010";"BSE";"541974"
"INE00VM01036";"NSE";"MANORAMA"
"INE00WC01027";"NSE";"AFFLE"
"INE00Y201027";"NSE";"FLAIR"
"INE00Y801016";"NSE";"AKG"
"INE00YB01017";"NSE";"ABINFRA"
"INE00Z501029";"NSE";"KRITIKA"
"INE00ZE01026";"NSE";"AFSL"
"INE010601016";"NSE";"ENTERO"
"INE010A01011";"BSE";"500338"
"INE010A01011";"NSE";"PRSMJOHNSN"
"INE010B01027";"BSE";"532321"
"INE010B01027";"NSE";"ZYDUSLIFE"
"INE010J01012";"BSE";"540595"
"INE010J01012";"NSE";"TEJASNET"
"INE010V01017";"BSE";"540115"
"INE010V01017";"NSE";"LTTS"
"INE011E01029";"BSE";"531112"
"INE011E01029";"NSE";"BALUFORGE"
"INE011K01018";"NSE";"TEGA"
"INE012A01025";"BSE";"500410"
"INE012A01025";"NSE";"ACC"
"INE013801027";"NSE";"KSHITIJPOL"
"INE013P01021";"NSE";"ONESOURCE"
"INE014B01011";"NSE";"TECILCHEM"
"INE015C01016";"BSE";"530475"
"INE015C01016";"NSE";"TINNARUBR"
"INE015D01022";"BSE";"532932"
"INE015D01022";"NSE";"MANAKSIA"
"INE016A01026";"BSE";"500096"
"INE016A01026";"NSE";"DABUR"
"INE016M01021";"BSE";"540789"
"INE016M01021";"NSE";"DNAMEDIA"
"INE017A01032";"BSE";"500620"
"INE017A01032";"NSE";"GESHIP"
"INE017W01010";"NSE";"SMLT"
"INE018401013";"BSE";"543281"
"INE018401013";"NSE";"SUVIDHAA"
"INE018A01030";"BSE";"500510"
"INE018A01030";"NSE";"LT"
"INE018E01016";"BSE";"543066"
"INE018E01016";"NSE";"SBICARD"
"INE019A01038";"BSE";"500228"
"INE019A01038";"NSE";"JSWSTEEL"
"INE019C01026";"BSE";"500184"
"INE019C01026";"NSE";"HSCL"
"INE019J01013";"BSE";"533259"
"INE019J01013";"NSE";"SASTASUNDR"
"INE01A001028";"NSE";"STANLEY"
"INE01BK01022";"BSE";"543254"
"INE01BK01022";"NSE";"AWHCL"
"INE01C001026";"NSE";"AARTECH"
"INE01EA01019";"NSE";"VMM"
"INE01EE01011";"NSE";"BBTCL"
"INE01EG01016";"NSE";"RITCO"
"INE01EO01010";"NSE";"SPECTRUM"
"INE01FR01028";"NSE";"STYLEBAAZA"
"INE01GN01025";"NSE";"IRISDOREME"
"INE01II01013";"NSE";"SILGO"
"INE01IU01018";"NSE";"SKYGOLD"
"INE01JE01028";"NSE";"MARINE"
"INE01KI01027";"NSE";"VINNY"
"INE01NE01012";"BSE";"542232"
"INE01NE01012";"NSE";"SRD"
"INE01P501012";"BSE";"542367"
"INE01P501012";"NSE";"XELPMOC"
"INE01QM01018";"NSE";"EMUDHRA"
"INE020801028";"BSE";"542337"
"INE020801028";"NSE";"SPENCERS"
"INE020B01018";"BSE";"532955"
"INE020B01018";"NSE";"RECLTD"
"INE020D01022";"NSE";"BAIDFIN"
"INE020G01017";"BSE";"532774"
"INE020G01017";"NSE";"INSPIRISYS"
"INE020J01029";"BSE";"532980"
"INE020J01029";"NSE";"GOKUL"
"INE021A01026";"BSE";"500820"
"INE021A01026";"NSE";"ASIANPAINT"
"INE021O01019";"NSE";"DODLA"
"INE022C01012";"NSE";"EUROTEXIND"
"INE022I01019";"BSE";"532888"
"INE022I01019";"NSE";"ASIANTILES"
"INE022Q01020";"BSE";"540750"
"INE022Q01020";"NSE";"IEX"
"INE023A01030";"BSE";"532256"
"INE023A01030";"NSE";"NSIL"
"INE023H01027";"BSE";"532649"
"INE023H01027";"NSE";"NECLIFE"
"INE023M01027";"BSE";"533605"
"INE023M01027";"NSE";"SETUINFRA"
"INE024001021";"NSE";"AEROFLEX"
"INE024D01016";"NSE";"PRUDMOULI"
"INE024L01027";"BSE";"533282"
"INE024L01027";"NSE";"GRAVITA"
"INE025A01027";"NSE";"CONSOFINVT"
"INE025B01025";"NSE";"GOLDIAM"
"INE025R01021";"NSE";"ARTEMISMED"
"INE026A01025";"BSE";"500690"
"INE026A01025";"NSE";"GSFC"
"INE027A01015";"BSE";"524230"
"INE027A01015";"NSE";"RCF"
"INE027H01010";"BSE";"543220"
"INE027H01010";"NSE";"MAXHEALTH"
"INE028A01039";"BSE";"532134"
"INE028A01039";"NSE";"BANKBARODA"
"INE029A01011";"BSE";"500547"
"INE029A01011";"NSE";"BPCL"
"INE029L01018";"BSE";"533302"
"INE029L01018";"NSE";"KICL"
"INE02A801020";"BSE";"543213"
"INE02A801020";"NSE";"ROSSARI"
"INE02AR01019";"BSE";"542437"
"INE02AR01019";"NSE";"ANMOL"
"INE02EZ01022";"NSE";"AXITA"
"INE02H701025";"NSE";"NOVAAGRI"
"INE02ID01020";"NSE";"RAYMONDLSL"
"INE02IJ01035";"NSE";"AZAD"
"INE02L001032";"NSE";"BOROSCI"
"INE02NC01014";"NSE";"FINOPB"
"INE02PY01013";"BSE";"543212"
"INE02PY01013";"NSE";"BOROLTD"
"INE02RE01045";"NSE";"FIRSTCRY"
"INE02WG01024";"NSE";"WEL"
"INE02YR01019";"NSE";"EMIL"
"INE030A01027";"BSE";"500696"
"INE030A01027";"NSE";"HINDUNILVR"
"INE031A01017";"BSE";"540530"
"INE031A01017";"NSE";"HUDCO"
"INE031B01049";"BSE";"532331"
"INE031B01049";"NSE";"AJANTPHARM"
"INE032A01023";"BSE";"500020"
"INE032A01023";"NSE";"BOMDYEING"
"INE032B01021";"BSE";"500337"
"INE032B01021";"NSE";"PRIMESECU"
"INE032Z01020";"NSE";"BSHSL"
"INE034A01011";"BSE";"500101"
"INE034A01011";"NSE";"ARVIND"
"INE034D01049";"NSE";"PTL"
"INE034S01021";"BSE";"539301"
"INE034S01021";"NSE";"ARVSMART"
"INE035801013";"NSE";"AERONEU"
"INE035D01020";"NSE";"SOTL"
"INE036A01016";"BSE";"500390"
"INE036A01016";"NSE";"RELINFRA"
"INE036B01030";"BSE";"524226"
"INE036B01030";"NSE";"GAEL"
"INE036D01028";"BSE";"590003"
"INE036D01028";"NSE";"KARURVYSYA"
"INE037A01022";"BSE";"500429"
"INE037A01022";"NSE";"UNIENTER"
"INE037Z01029";"NSE";"CEWATER"
"INE038A01020";"BSE";"500440"
"INE038A01020";"NSE";"HINDALCO"
"INE038F01029";"BSE";"532515"
"INE038F01029";"NSE";"TVTODAY"
"INE039A01010";"BSE";"500106"
"INE039A01010";"NSE";"IFCI"
"INE039B01026";"BSE";"532324"
"INE039B01026";"NSE";"CINEVISTA"
"INE039C01032";"BSE";"520051"
"INE039C01032";"NSE";"JAMNAAUTO"
"INE039O01029";"NSE";"JASH"
"INE03CC01015";"NSE";"JUBLCPL"
"INE03DD01011";"NSE";"RETAIL"
"INE03EI01018";"NSE";"MAXESTATES"
"INE03HW01020";"NSE";"VLEGOV"
